"--Please Select--","--Per favore seleziona--"
"%customer_name,","%nome_cliente"
"<a href=""%redirect_url"">I pay my order now!</a>.","<a href=""%redirect_url"">Pago subito il mio ordine!</a>."
"<b>Important! :</b> Please provide your Merchant PayPal ID to enable PayPal V2 integration.","<b>Importante! :</b> Si prega di fornire il proprio ID commerciante PayPal per abilitare l'integrazione PayPal V2."
"<b>Manual</b>: All transactions will be captured manually either from the Hipay Back office or from your Magento administration dashboard. <br/><b>Automatic</b>: All transactions will be captured automatically.","<b>Manuelle</b>: Tutte le transazioni verranno catturate manualmente dal back office hipay o dalla dashboard di amministrazione Magento. <br/><b>Automatique</b>: Tutte le transazioni verranno acquisite automaticamente."
"<b>NEW</b>: The new PayPal integration allows you to pay with PayPal without redirection and to offer payment with installments.<br/>Available by <b>invitation only</b> at this time, please contact our support or your account manager for more information.","<b>NOUVO</b>: La nuova integrazione PayPal ti permette di pagare con PayPal senza reindirizzamento e di offrire il pagamento rateale.<br/>Disponibile <b>solo su invito</b> al momento. Contatta il nostro supporto o il tuo account manager per ulteriori informazioni."
"<strong style=""color:red"">Warning!</strong> If the hash configuration is different than the one set in your Hipay back office, then the notifications will not work. Check that both values match.","<strong style=""color:red"">Attention!</strong> Se la configurazione hash è diversa da quella del back office hipay, le notifiche non funzioneranno. Controlla che entrambi i valori corrispondano."
"Accept and Capture Payment","Accetta e cattura pagamento"
"Actions","Azioni"
"Add product to cart","Aggiunti prodotto al carrello"
"Amount to pay","Importo da pagare"
"Amount","Importo"
"AMOUNT","IMPORTO"
"An amount of %1 will be captured after being approved at the payment gateway.","Un'importo di %1 sarà catturato dopo essere stato approvato al payment gateway."
"An email with a payment link will be sent to the customer.","Un e-mail con il link di pagamento verrà inviata al cliente."
"Api password (production account)","Api password (account di Produzione)"
"Api password (test account)","Api password (account di Stage)"
"Api username (production account)","Api username (account di Produzione)"
"Api username (test account)","Api username (account di Stage)"
"Are you sure you wan't to delete the %1 record?","Sei sicuro di non voler eliminare %1 record?"
"Are you sure you wan't to delete the mapping ?","Sei sicuro di non voler cancellare la mappatura ?"
"Are you sure you wan't to delete the shipping mapping ?","Sei sicuro di non volere cancellare la mappatura spedizione ?"
"Are you sure you wan't to pay %1 ?","Sei sicuro di non voler pagare %1 ?"
"Are you sure you want to accept this payment?","Sei sicuro di voler accettare questo pagamento?"
"Are you sure you want to delete this card?","Sei sicuro di voler eliminare questa carta?"
"Are you sure you want to do this?","Sicuro di voler fare questo?"
"Authentication requested","Autenticazione richiesta"
"Authorization Expired","Autorizzazione scaduta"
"Authorization requested","Autorizzazione richiesta"
"Authorized and pending","Autorizzato e pendente"
"Authorized","Autorizzato"
"Automatic","Automatico"
"Back","Indietro"
"Bank name is not correct, please enter a valid Bank name.","Nome della banca non corretto, per favore inserisci un nome valido"
"Bank name","Nome banca"
"Basic JS","Basic JS"
"Billing Info","Info di fatturazione"
"Black","Nero"
"Blue","Blu"
"Button Color","Colore del pulsante"
"Button Height","Altezza del pulsante"
"Button Label","Etichetta del pulsante"
"Button Shape","Forma del pulsante"
"Button Type","Tipo di buttone"
"Buy Now","Compra ora"
"Cancel orders stayed in pending because customer not validated payment","Annulla gli ordini rimasti in sospeso perché il cliente non ha convalidato il pagamento."
"Cancel pending order","Annulla ordine in sospeso"
"Canceled","Cancellato",module,Magento_Bundle
"Canceled","Cancellato",module,Magento_Downloadable
"Canceled","Cancellato",module,Magento_Paypal
"Canceled","Cancellato",module,Magento_Reports
"Canceled","Cancellato",module,Magento_Sales
"Canceled","Cancellato",module,Magento_Signifyd
"Capture requested","Cattura richiesta"
"Capture Requested","Cattura Richiesta"
"Capture","Cattura"
"Card %s - %s","Carta %s - %s"
"Card name","Titolare carta"
"Card not registered! Due to: %s","Carta non registrata! Due to: %s"
"Card Number","Numero carta"
"Card number","Numero della carta"
"Card Owner Name","Nominativo intestatario carta"
"Card Verification Number Visual Reference","Numero riferimento visivo verifica carta"
"Card Verification Number","CVC"
"Cart Item Attribute","Attributo articolo carrello"
"CartCategories Attribute","Attributo categoria carta"
"Category Hipay","Categoria HiPay"
"Category Magento","Categoria Magento"
"Checkout","Check-out"
"Click <a href=""%1"">here</a> to continue shopping.","Clicca <a href=""%1"">qui</a> per continuare gli acquisti."
"Code BIC is not correct, please enter a valid Code BIC.","BIC non corretto, per favore inserisci un codice valido."
"Code BIC","Codice BIC"
"Complete","Completo"
"Configure Rules to activate oneclick","Configurare le regole per attivare oneclick"
"Continue","Continuare"
"CPF identification","Identificazione del CPF"
"CPF is not correct, please enter a valid CPF.","CPF non è corretto, per favore inserisci un valido CPF."
"CPN identification","Identificazione del CPN"
"CPN is not correct, please enter a valid CPN.","CPN non è corretto, per favore inserisci un valido CPN."
"Create mapping shipping","Creare mappatura della spedizione"
"Create mapping","Crea una mappatura"
"Create New Mapping Categories","Creare una nuova mappatura di categoria"
"Create New Mapping Shipping","Creare una nuova mappatura del metodo di spedizione"
"Credit Card Information","Informazioni carte di credito"
"Credit Card Number","Numero di carta di credito"
"Credit Card Type","Tipo carta di credito"
"Credit cards","Carte di credito"
"Currency","Valuta"
"Custom CSS url","Custom CSS url"
"Custom shipping code","Codice spedizione personalizzata"
"Custom shipping method","Metodo di spedizione personalizzato"
"Custom shipping methods","Metodi di spedizione personalizzati"
"Customer Attribute","Attributo cliente"
"Customer is guest","Cliente è ospite"
