"HiPay API configuration","Configuration de l'API Hipay"
"Api username","Identifiant de l'API"
"Api password","Mot de passe de l'API"
"Api username test","Identifiant TEST de l'API"
"Api password test","Mot de passe TEST de l'API"
"Hipay Credit Card","HiPay Fullservice Carte Bancaire"
"Enabled","Activé"
"Title","Titre"
"Payment Action","Type de paiement"
"Notification from Hipay:","Notification depuis Hipay:"
"status","statut"
"Order %s by %s","Commande %s de %s"
"amount: %s","montant: %s"
"failed","échec"
"successful","succès"
"Credit Card: xxxx-%s","Carte de crédit: xxxx-%s"
"Hipay Transaction ID %s","ID de transaction HIPAY %s"
"Payment authorization error."Erreur d'autorisation de paiement."
"Payment capturing error.","Erreur de capture du paiement."
"Payment accepted by Hipay.","Paiement accepté par Hipay."
"Waiting for capture transaction ID '%s' of amount %s","En attente de la capture de la transaction '%s' du montant %s"
"Reason","Raison"
"Code Credit Card Type Hipay not found!","Code du type de la carte de crédit non trouvé!"
"Authorization","Autorisation"
"Sale","Vente"
"basic","basic"
"basic2","basic2"
"Order canceled automatically by cron because order is pending since %d minutes","Commande annulée automatiquement par le cron car elle est en attente depuis %d minutes."
"--Please Select--","--Votre choix--"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Month","Mois"
"Year","Année"
"Expiration date","Date d'expiration"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Record your card data for a next buy.","Enregistrez une empreinte de carte bancaire pour un prochain achat."
"Use my recorded card","Sélectionner une de mes cartes pré-enregistrées."
"Actual card","Carte actuelle"
"Record new card data","Enregistrer l'empreinte d'une nouvelle carte"
"Not use record card data","Payer directement avec une autre Carte Bancaire."
"You will be redirect to payment page after submit order.","Vous serez redirigé vers la page de paiment après la validation de la commande."
"Order status when payment accepted","Statut de la commande quand le paiement est accepté."
"Order status when payment refused","Statut de la commande quand le paiement est refusé."
"Order status when payment canceled by customer","Statut de la commande quand le paiement est annulé par le client."
"Credit Card Verification","Vérification de la carte de crédit"
"Use 3D Secure","Activer 3DS"
"Use Oneclick","Activer le paiement oneclick"
"Use recurring profile","Activer le profile récurrent"
"Create invoice when payment accepted","Créer une facture quand le paiement est accepté"
"Add product to cart","Mettre à jour le panier"
"Fill cart when payment canceled or refused","Remet à jour le panier quand le paiement est annulé ou refusé."
"Cancel pending order","Annuler les commandes en attentes"
"Cancel orders stayed in pending because customer not validated payment","Annule les commandes en attentes depuis 30 minutes."
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Minimum Order Total","Montant mini de commande"
"Maximum Order Total","Montant maxi de commande"
"Sort Order","Ordre de tri"
"Enable debug log","Mode debug"
"Enable test mode","Mode TEST"
"Css Url","Css Url"
"Important, HTTPS protocol is required","Important, le protocole HTTPS est requis."
"Page payment template","Template de la page de paiement."
"Display card selector","Afficher le sélecteur de carte"
"What is this?","Aide ?"
"Hipay Hosted","HiPay Fullservice Page Hébergée"
"You will be debit of amount %s only after submit order.","Vous serez débité d'un montant de %s uniquement après validation de la commande à la prochaine étape."
"Pending Capture","En attente de capture"
"Capture Requested","Capture demandée"
"Refund Requested","Remboursement demandé"
"Capture Requested by Hipay.","Capture demandée by Hipay."
"Payment accepted by Hipay.","Paiement accepté by Hipay."
"Refund Requested by Hipay.","Remboursement demandé by Hipay."
"Refund accepted by Hipay.","Remboursement accepté by Hipay."
"Your payment is in pending.","Votre paiement est en attente de validation."
"Order #","Commande #"
"Pending page","Page en attente"
"Success page","Page succès"
"Failure page","Page échec"
"Redirect page pending status","Page de redirection statut en attente"
"Page to redirect when transaction is in pending status","Page de redirection quand le statut de transaction est en attente"
"Record your card data for recurring.","Enregistrez une empreinte de carte bancaire pour la récurrence du paiement."
"Hipay status to validate order","Statut Hipay validant la commande"
"Display hosted page in Iframe","Affiche la page de paiement dans une Iframe"
"Configure Rules to activate 3D Secure","Configurer les règles d'activation du 3d secure"
"Rules 3D Secure","Règles 3d Secure"
"Enable for all transactions","Activé pour toutes les transactions"
"Enable for configured 3ds rules","Activé pour les transactions défini par les règles 3DS (ci-dessous)",
"Disabled","Désactivé"
"Order Attribute","Attribut de la commande"
"Customer Attribute","Attribut du client"
"Order's time","Heure de la commande"
"Billing Postcode","Code postal de facturation"
"Billing Region","Region de facturation"
"Billing State/Province","Etat/province de la facturation "
"Billing Country","Pays de la facturation"
"Midnight - 8:00 a.m.","Entre minuit(inclu) et 8H"
"8:00 a.m. - 3:00 p.m.","Entre 8H et 15H(inclu)"
"3:00 pm. - 8:00 p.m.","Entre 15H et 20H(inclu)"
"8:00 p.m. - 11:59 p.m.","Entre 20H et minuit"
"Orders count","Nombre de commande passées (inclu celle en cours)"
"Customer is guest","Commande en tant qu'invité"
"Billing and shipping addresses are differents","Adresses de facturation et de livraison différentes"
"Sort the list by drag'n/drop credit card type","Vous pouvez choisir l'ordre d'affichage en faisant un glisser/déposer de chaque type de paiement."
"Split your Payment","Payer en plusieurs fois"
"-- Please select your split payment --","-- Sélectionnez votre mode de paiement --"
"Try to enable for all transactions.","Demander l'activation pour toutes les transactions"
"Try to enable for configured 3ds rules","Demander l'activation pour les transactions défini par les règles 3DS (ci-dessous)"
"Force for configured 3ds rules","Forcer l'activation pour les transactions défini par les règles 3DS (ci-dessous)"
"Force for all transactions.","Forcer l'activation pour toutes les transactions."
"Your next payments:","Vos prochains paiements: "
"Name on Card","Propriétaire de la carte"
"Use Split Payment","Activer le paiement en plusieurs fois"
"Payment Profile","Profile de paiement"
"Minimum Order Total for Split Payment","Minimum de commande pour les paiements en plusieurs fois"
"Rules Oneclick","Règle d'activation du oneClick"
"Send fraud payment email","Envoyer un mail au client an cas de fraude"
"Display card owner","Afficher le porteur de carte"
"Display card owner in card form","Affiche le champs de saisi pour le porteur de carte"
"Split Payment Profiles","Profils de paiement en plusieurs fois"
"Split payments","Liste des paiements en plusieurs fois"
"Hipay Split Payments","Hipay paiement en plusieurs fois"
"Card token","Jeton de carte"
"Amount to pay","Montant à payer"
"Date to pay","Date de l'échéance"
"Attempts","Tentatives"
"Status","Statut"
"Pay now","Payer maintenant"
"Hipay Payment Profiles","Hipay profils de paiement"
"payment_type","Type de paiement"
"Add payment profile","Ajouter un profile de paiement"
"Payment Profile","Profil de paiement"
"Wrapper iFrame Style","Style du container de l'iframe"
"iFrame Width","Largeur de l'iframe"
"iFrame Height","Hauteur de l'iframe"
"iFrame Style","Style de l'iframe"
"HiPay Fullservice credentials configuration","HiPay Fullservice credentials configuration"
"HiPay Fullservice Credit Card","HiPay Fullservice Credit Card API"
"HiPay Fullservice Hosted Page","HiPay Fullservice Credit Card Hosted Page"
"HiPay Fullservice Credit Card Split Payment","HiPay Fullservice Credit Card Split Payment"
"Credit Card Split Payment","Paiement en plusieurs fois par carte bancaire"
"HiPay Fullservice Hosted Page Split Payment","HiPay Fullservice Hosted Page Split Payment"
"Bankwire method","Méthode virement bancaire"
"Gender","Le genre"
"Male","Homme"
"Female","Femme"
"firstname","Prénom"
"lastname","Nom"
"Bank name","Nom de la banque"
"Enable the electronic signature of the mandate","Activer la signature électronique du mandat"
